,ifm_terminal_frequency,ifm_start,ifm_peak_frequency,ifm_stop,ifm_region_id,ifm_rms,ifm_peak_amplitude,ifm_duration,ifm_peak_freq_resolution,cf_terminal_frequency,cf_start,cf_peak_frequency,cf_stop,cf_region_id,cf_rms,cf_peak_amplitude,cf_duration,cf_peak_freq_resolution,tfm_terminal_frequency,tfm_start,tfm_peak_frequency,tfm_stop,tfm_region_id,tfm_rms,tfm_peak_amplitude,tfm_duration,tfm_peak_freq_resolution,audio_file,terminal_frequency_threshold,video_annot_id,num_bats,0,duration,peak_freq_resolution,terminal_frequency
0,102803.73831775703,0.00162,107476.6355140187,0.002048,fm1,0.010141900519515572,0.020599365234375,0.00042800000000000005,4629.62962962963,107869.14235190097,0.002048,108090.18567639258,0.020144,cf1,0.07215095482214423,0.144378662109375,0.018096,110.4728236853734,88770.86494688924,0.020144,91047.04097116843,0.02278,fm2,0.0281987927520798,0.062225341796875,0.002636,757.5757575757576,segment_matching_annotaudio_Aditya_2018-08-16_21502300_101,-10,Aditya_2018-08-16_21502300_101,1,,,,
1,,,,,,,,,,105194.46619681547,0.001376,105390.23753589144,0.0167,cf1,0.025778594642405357,0.053070068359375,0.015324,130.48016701461378,88582.67716535434,0.0167,103543.3070866142,0.01924,fm1,0.01634002430133457,0.042816162109375,0.0025399999999999997,786.1635220125786,segment_matching_annotaudio_Aditya_2018-08-16_21502300_102,-10,Aditya_2018-08-16_21502300_102,1,,,,
2,96273.29192546583,0.00066,106107.66045548656,0.002592,fm1,0.15546818811601895,0.269683837890625,0.0019320000000000001,1033.0578512396694,106973.37200105457,0.002592,106973.37200105457,0.017764,cf1,0.2714703725882995,0.448944091796875,0.015172,131.78703215603585,91810.34482758619,0.017764,104741.37931034484,0.020084,fm2,0.17982174697968625,0.308990478515625,0.00232,859.1065292096221,segment_matching_annotaudio_Aditya_2018-08-16_21502300_104,-10,Aditya_2018-08-16_21502300_104,1,,,,
3,99856.32183908047,0.001036,105603.44827586207,0.002428,fm1,0.0168176535354491,0.045562744140625,0.001392,1428.571428571429,107272.98206278024,0.002428,107413.11659192824,0.0167,cf1,0.0351400075014675,0.070953369140625,0.014272,140.05602240896357,96977.32997481107,0.0167,105163.72795969773,0.018288,fm2,0.013470124163498324,0.030303955078125,0.001588,1256.2814070351758,segment_matching_annotaudio_Aditya_2018-08-16_21502300_106,-10,Aditya_2018-08-16_21502300_106,1,,,,
4,99326.59932659932,5.6000000000000006e-05,106060.60606060603,0.0012439999999999999,fm1,0.012092096646668616,0.025665283203125,0.001188,1677.8523489932886,106701.94003527338,0.0012439999999999999,106848.91240446796,0.014852,cf1,0.02899286279904937,0.055877685546875,0.013608000000000002,146.88601645123384,97014.92537313432,0.014852,104477.61194029849,0.016996,fm2,0.020249834499795186,0.047576904296875,0.002144,929.3680297397771,segment_matching_annotaudio_Aditya_2018-08-16_21502300_108,-10,Aditya_2018-08-16_21502300_108,1,,,,
5,,,,,,,,,,105383.92657264383,0.000936,105551.82449070962,0.018803999999999998,cf1,0.04244860249444943,0.094268798828125,0.017868000000000002,111.9068934646374,91435.18518518518,0.018803999999999998,102430.55555555556,0.020531999999999998,fm1,0.02198145184080013,0.050506591796875,0.0017280000000000002,1152.073732718894,segment_matching_annotaudio_Aditya_2018-08-16_21502300_110,-10,Aditya_2018-08-16_21502300_110,1,,,,
6,,0.000908,102657.00483091787,0.002564,fm1,0.0178691802416919,0.042205810546875,,,,0.002564,105548.94376673608,0.016008,cf1,0.04005915017069598,0.074188232421875,,,,0.016008,105072.46376811595,0.017664,fm2,0.018868229868014556,0.044586181640625,,,segment_matching_annotaudio_Aditya_2018-08-16_21502300_111,-10,Aditya_2018-08-16_21502300_111,1,,0.001656,1201.923076923077,94806.76328502416
7,,,,,,,,,,105559.99201437416,0.0018399999999999998,105609.90217608307,0.021876,cf1,0.04856064727890373,0.104766845703125,0.020036,99.80039920159679,90395.4802259887,0.021876,105461.39359698682,0.024,fm1,0.02016517680136817,0.049102783203125,0.002124,939.8496240601503,segment_matching_annotaudio_Aditya_2018-08-16_21502300_18,-10,Aditya_2018-08-16_21502300_18,2,,,,
8,103305.78512396694,0.0,105888.42975206609,0.001936,fm1,0.018163026242658538,0.050872802734375,0.001936,1028.80658436214,107620.1875124676,0.001936,107653.43440388324,0.062091999999999994,cf1,0.1501261604996779,0.324676513671875,0.060155999999999994,33.244680851063826,102725.36687631028,0.062091999999999994,105345.91194968554,0.064,fm2,0.015328997175646588,0.047271728515625,0.0019079999999999998,1046.0251046025103,segment_matching_annotaudio_Aditya_2018-08-16_21502300_22,-10,Aditya_2018-08-16_21502300_22,2,,,,
9,92039.8009950249,0.000728,103855.72139303484,0.002336,fm1,0.020795296608906697,0.044647216796875,0.0016079999999999998,1237.6237623762374,105133.68983957221,0.002336,105401.0695187166,0.021036000000000003,cf1,0.03950246972699223,0.076141357421875,0.0187,106.92899914456801,90327.16927453774,0.021036000000000003,102418.2076813656,0.023847999999999998,fm2,0.025472069350264217,0.061248779296875,0.0028120000000000003,710.2272727272727,segment_matching_annotaudio_Aditya_2018-08-16_21502300_24,-10,Aditya_2018-08-16_21502300_24,1,,,,
