,ifm_peak_amplitude,ifm_duration,ifm_region_id,ifm_peak_freq_resolution,ifm_rms,ifm_stop,ifm_terminal_frequency,ifm_peak_frequency,ifm_start,cf_peak_amplitude,cf_duration,cf_region_id,cf_peak_freq_resolution,cf_rms,cf_stop,cf_terminal_frequency,cf_peak_frequency,cf_start,tfm_peak_amplitude,tfm_duration,tfm_region_id,tfm_peak_freq_resolution,tfm_rms,tfm_stop,tfm_terminal_frequency,tfm_peak_frequency,tfm_start,audio_file,terminal_frequency_threshold,video_annot_id,num_bats,0,duration,peak_freq_resolution,terminal_frequency
0,0.020599365234375,0.00042800000000000005,fm1,4629.62962962963,0.010141900519515572,0.002048,102803.73831775703,107476.6355140187,0.00162,0.144378662109375,0.018096,cf1,110.4728236853734,0.07215095482214423,0.020144,107869.14235190097,108090.18567639258,0.002048,0.062225341796875,0.002636,fm2,757.5757575757576,0.0281987927520798,0.02278,88770.86494688924,91047.04097116843,0.020144,segment_matching_annotaudio_Aditya_2018-08-16_21502300_101,-10,Aditya_2018-08-16_21502300_101,1,,,,
1,,,,,,,,,,0.053070068359375,0.015324,cf1,130.48016701461378,0.025778594642405357,0.0167,105194.46619681547,105390.23753589144,0.001376,0.042816162109375,0.0025399999999999997,fm1,786.1635220125786,0.01634002430133457,0.01924,88582.67716535434,103543.3070866142,0.0167,segment_matching_annotaudio_Aditya_2018-08-16_21502300_102,-10,Aditya_2018-08-16_21502300_102,1,,,,
2,0.269683837890625,0.0019320000000000001,fm1,1033.0578512396694,0.15546818811601895,0.002592,96273.29192546583,106107.66045548656,0.00066,0.448944091796875,0.015172,cf1,131.78703215603585,0.2714703725882995,0.017764,106973.37200105457,106973.37200105457,0.002592,0.308990478515625,0.00232,fm2,859.1065292096221,0.17982174697968625,0.020084,91810.34482758619,104741.37931034484,0.017764,segment_matching_annotaudio_Aditya_2018-08-16_21502300_104,-10,Aditya_2018-08-16_21502300_104,1,,,,
3,0.045562744140625,0.001392,fm1,1428.571428571429,0.0168176535354491,0.002428,99856.32183908047,105603.44827586207,0.001036,0.070953369140625,0.014272,cf1,140.05602240896357,0.0351400075014675,0.0167,107272.98206278024,107413.11659192824,0.002428,0.030303955078125,0.001588,fm2,1256.2814070351758,0.013470124163498324,0.018288,96977.32997481107,105163.72795969773,0.0167,segment_matching_annotaudio_Aditya_2018-08-16_21502300_106,-10,Aditya_2018-08-16_21502300_106,1,,,,
4,0.025665283203125,0.001188,fm1,1677.8523489932886,0.012092096646668616,0.0012439999999999999,99326.59932659932,106060.60606060603,5.6000000000000006e-05,0.055877685546875,0.013608000000000002,cf1,146.88601645123384,0.02899286279904937,0.014852,106701.94003527338,106848.91240446796,0.0012439999999999999,0.047576904296875,0.002144,fm2,929.3680297397771,0.020249834499795186,0.016996,97014.92537313432,104477.61194029849,0.014852,segment_matching_annotaudio_Aditya_2018-08-16_21502300_108,-10,Aditya_2018-08-16_21502300_108,1,,,,
5,,,,,,,,,,0.094268798828125,0.017868000000000002,cf1,111.9068934646374,0.04244860249444943,0.018803999999999998,105383.92657264383,105551.82449070962,0.000936,0.050506591796875,0.0017280000000000002,fm1,1152.073732718894,0.02198145184080013,0.020531999999999998,91435.18518518518,102430.55555555556,0.018803999999999998,segment_matching_annotaudio_Aditya_2018-08-16_21502300_110,-10,Aditya_2018-08-16_21502300_110,1,,,,
6,0.042205810546875,,fm1,,0.0178691802416919,0.002564,,102657.00483091787,0.000908,0.074188232421875,,cf1,,0.04005915017069598,0.016008,,105548.94376673608,0.002564,0.044586181640625,,fm2,,0.018868229868014556,0.017664,,105072.46376811595,0.016008,segment_matching_annotaudio_Aditya_2018-08-16_21502300_111,-10,Aditya_2018-08-16_21502300_111,1,,0.001656,1201.923076923077,94806.76328502416
7,,,,,,,,,,0.104766845703125,0.020036,cf1,99.80039920159679,0.04856064727890373,0.021876,105559.99201437416,105609.90217608307,0.0018399999999999998,0.049102783203125,0.002124,fm1,939.8496240601503,0.02016517680136817,0.024,90395.4802259887,105461.39359698682,0.021876,segment_matching_annotaudio_Aditya_2018-08-16_21502300_18,-10,Aditya_2018-08-16_21502300_18,2,,,,
8,0.050872802734375,0.001936,fm1,1028.80658436214,0.018163026242658538,0.001936,103305.78512396694,105888.42975206609,0.0,0.324676513671875,0.060155999999999994,cf1,33.244680851063826,0.1501261604996779,0.062091999999999994,107620.1875124676,107653.43440388324,0.001936,0.047271728515625,0.0019079999999999998,fm2,1046.0251046025103,0.015328997175646588,0.064,102725.36687631028,105345.91194968554,0.062091999999999994,segment_matching_annotaudio_Aditya_2018-08-16_21502300_22,-10,Aditya_2018-08-16_21502300_22,2,,,,
9,0.044647216796875,0.0016079999999999998,fm1,1237.6237623762374,0.020795296608906697,0.002336,92039.8009950249,103855.72139303484,0.000728,0.076141357421875,0.0187,cf1,106.92899914456801,0.03950246972699223,0.021036000000000003,105133.68983957221,105401.0695187166,0.002336,0.061248779296875,0.0028120000000000003,fm2,710.2272727272727,0.025472069350264217,0.023847999999999998,90327.16927453774,102418.2076813656,0.021036000000000003,segment_matching_annotaudio_Aditya_2018-08-16_21502300_24,-10,Aditya_2018-08-16_21502300_24,1,,,,
